Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,delta-9 CBG-A,delta-9 CBG,CBG-A,CBG,CBC,Moisture Content
,Lemon OG,"Flower, Inhalable",2017-07-27,,152,,,,,,0.0,0.009,0.014,0.0,0.0,0.074,0.0,0.04,0.022,0.006,0.008,0.046,0.58,0.0,0.168,0.154,,0.134,0.039,0.0,0.0,,,,,,,,,,,,,,
,Sour Diesel,"Flower, Inhalable",2017-07-27,,152,,,,,,0.0,0.005,0.004,0.0,0.0,0.111,0.0,0.027,0.0,0.004,0.048,0.067,0.016,0.0,0.184,0.443,,0.035,0.127,0.0,0.0,,,,,,,,,,,,,,
,Jaeger,"Flower, Inhalable",2017-07-27,,152,,,,,,0.0,0.017,0.007,0.0,0.0,0.003,0.0,0.136,0.015,0.016,0.051,0.11,0.176,0.0,0.39,0.093,,0.156,0.765,0.0,0.0,,,,,,,,,,,,,,
,Strawberry Banana,"Flower, Inhalable",2017-08-11,,152,,,,,,0.0,0.017,0.007,0.0,0.0,0.0,0.0,0.004,0.135,0.007,0.007,0.064,0.116,0.0,0.231,0.239,,0.124,0.598,0.0,0.0,,,,,,,,,,,,,,
,Stardawg,"Flower, Inhalable",2017-08-25,,152,,,,,,0.0,0.008,0.005,0.0,0.007,0.0,0.0,0.0,0.0,0.002,0.063,0.158,0.031,0.0,0.417,0.351,,0.06,0.294,0.0,0.0,,,,,,,,,,,,,,
,Sour OG,"Flower, Inhalable",2017-08-25,,152,,,,,,0.0,0.015,0.015,0.0,0.005,0.0,0.0,0.134,0.0,0.003,0.046,0.12,0.05,0.0,0.396,0.46,,0.101,0.381,0.0,0.0,,,,,,,,,,,,,,
,Rattlesnake Diesel,"Flower, Inhalable",2017-08-25,,152,,,,,,0.0,0.013,0.006,0.0,0.0,0.0,0.0,0.061,0.0,0.003,0.064,0.111,0.05,0.0,0.299,0.101,,0.092,0.36,0.0,0.0,,,,,,,,,,,,,,
,Diamond OG,"Flower, Inhalable",2017-08-25,,152,,,,,,0.0,0.017,0.008,0.0,0.001,0.0,0.0,0.157,0.0,0.005,0.139,0.098,0.059,0.0,0.346,0.289,,0.113,0.59,0.0,0.0,,,,,,,,,,,,,,
,ROC OG,"Flower, Inhalable",2017-08-25,,152,,,,,,0.0,0.004,0.005,0.0,0.001,0.029,0.0,0.014,0.0,0.0,0.031,0.018,0.099,0.0,0.065,0.349,,0.063,0.056,0.0,0.0,,,,,,,,,,,,,,
,Blue Dream,"Flower, Inhalable",2017-08-25,,152,,,,,,0.0,0.007,0.004,0.0,0.0,0.0,0.0,0.043,0.0,0.001,0.018,0.052,0.424,0.0,0.151,0.841,,0.184,0.065,0.0,0.0,,,,,,,,,,,,,,
,Chem Dawg,"Flower, Inhalable",2017-08-25,,152,,,,,,0.0,0.014,0.014,0.0,0.002,0.0,0.0,0.0,0.0,0.006,0.057,0.162,0.054,0.0,0.552,0.551,,0.097,0.594,0.0,0.0,,,,,,,,,,,,,,
,Cheisel,"Flower, Inhalable",2017-08-25,,152,,,,,,0.0,0.01,0.007,0.0,0.001,0.0,0.0,0.051,0.0,0.003,0.095,0.136,0.036,0.0,0.361,0.188,,0.068,0.314,0.0,0.0,,,,,,,,,,,,,,
,Gorilla Glue,"Flower, Inhalable",2017-08-25,,152,,,,,,0.0,0.009,0.009,0.0,0.002,0.0,0.0,0.034,0.0,0.003,0.076,0.152,0.033,0.0,0.515,0.096,,0.064,0.267,0.0,0.0,,,,,,,,,,,,,,
,Black Lime Reserve,"Flower, Inhalable",2017-08-25,,152,,,,,,0.0,0.009,0.01,0.0,0.0,0.0,0.0,0.043,0.0,0.003,0.099,0.15,0.033,0.0,0.399,0.498,,0.06,0.282,0.0,0.0,,,,,,,,,,,,,,
,Sour Tangy,"Flower, Inhalable",2017-08-25,,152,,,,,,0.0,0.006,0.007,0.0,0.002,0.0,0.0,0.021,0.0,0.0,0.06,0.145,0.196,0.0,0.32,0.972,,0.102,0.1,0.0,0.0,,,,,,,,,,,,,,
,Sour Diesel,"Flower, Inhalable",2016-11-11,,153,,,,,,0.0,0.007,0.012,0.0,0.002,0.003,0.0,0.034,0.0,0.003,0.103,0.285,0.028,0.0,0.689,0.335,,0.053,0.338,0.0,0.0,,,,,,,,,,,,,,
,Sour Diesel Hash Oil,"Concentrate, Inhalable",2016-11-21,,153,,,,,,0.0,0.0,0.066,0.0,0.0,0.01,0.0,0.026,0.0,0.0,0.281,0.398,0.0,0.0,0.85,0.0,,0.0,0.027,0.0,0.0,,,,,,,,,,,,,,
,Double Jack Hash Oil,"Concentrate, Inhalable",2017-02-13,,153,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.552,0.536,0.0,0.0,1.22,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,Goodland Jack,"Flower, Inhalable",2017-11-03,,154,,,,,,0.033,0.003,0.003,0.004,0.003,0.067,0.009,0.006,0.253,0.838,0.006,0.022,0.059,0.025,0.078,0.484,,0.096,0.15,0.015,0.001,,,,,,,,,,,,,,
,Bruce Banner #4,"Flower, Inhalable",2017-11-03,,154,,,,,,0.037,0.005,0.013,0.004,0.0,0.077,0.007,0.093,0.057,0.994,0.021,0.103,0.069,0.028,0.329,0.604,,0.118,0.275,0.015,0.001,,,,,,,,,,,,,,
,E-Dub,"Flower, Inhalable",2017-11-03,,154,,,,,,0.0,0.012,0.01,0.0,0.0,0.103,0.001,0.072,0.001,0.009,0.049,0.175,0.048,0.0,0.625,0.178,,0.086,0.535,0.0,0.0,,,,,,,,,,,,,,
,Green Tea Ice Cream,"Concentrate, Inhalable",2016-11-10,,157,,,,,,0.0,0.0,0.087,0.018,0.0,0.03,0.0,0.495,0.0,0.006,0.259,0.133,0.0,0.0,0.346,0.259,,0.0,1.006,0.0,0.0,,,,,,,,,,,,,,
,Trainwreck,"Concentrate, Inhalable",2016-11-30,,157,,,,,,0.0,0.0,0.234,0.0,0.0,0.018,0.0,0.296,0.0,0.0,0.39,6.922,0.346,0.0,3.287,0.103,,0.0,0.012,0.0,0.0,,,,,,,,,,,,,,
,Granddaddy Purple,"Concentrate, Inhalable",2016-11-30,,157,,,,,,0.0,0.0,0.214,0.0,0.011,0.028,0.0,7.08,0.0,0.017,0.514,4.672,0.041,0.0,1.686,0.187,,0.0,0.006,0.0,0.0,,,,,,,,,,,,,,
,Tahoe OG,"Concentrate, Inhalable",2016-12-15,,157,,,,,,0.0,0.018,0.266,0.249,0.01,0.033,0.0,0.919,0.007,0.043,0.45,1.045,0.121,0.0,2.394,0.319,,0.216,0.804,0.0,0.0,,,,,,,,,,,,,,
,Green Crack,"Concentrate, Inhalable",2016-12-15,,157,,,,,,0.0,0.0,0.278,0.0,0.01,0.025,0.009,0.496,0.094,0.041,0.511,1.727,0.555,0.0,2.637,1.059,,0.383,0.247,0.0,0.0,,,,,,,,,,,,,,
,Girl Scout Coookies,"Concentrate, Inhalable",2016-12-15,,157,,,,,,0.0,0.0,0.236,0.104,0.01,0.018,0.0,0.686,0.0,0.041,0.421,2.326,0.023,0.0,4.832,0.106,,0.028,0.172,0.0,0.0,,,,,,,,,,,,,,
,Super Lemon Haze,"Concentrate, Inhalable",2016-12-15,,157,,,,,,0.0,0.0,0.232,0.0,0.0,0.018,0.0,0.232,0.0,0.95,0.433,2.065,0.0,0.0,3.517,0.162,,0.019,0.082,0.0,0.0,,,,,,,,,,,,,,
,Green Crack Clear,"Concentrate, Inhalable",2017-02-09,,157,,,,,,0.004,0.015,0.026,0.0,0.002,0.0,0.01,0.159,0.204,0.022,0.017,1.458,1.273,0.0,2.015,2.542,,0.785,0.179,0.0,0.004,,,,,,,,,,,,,,
,Girl Scout Cookie Clear,"Concentrate, Inhalable",2017-02-09,,157,,,,,,0.0,0.001,0.028,0.127,0.0,0.001,0.0,0.619,0.0,0.014,0.011,2.066,0.106,0.0,7.062,0.538,,0.141,0.609,0.0,0.0,,,,,,,,,,,,,,
,Hitone Pineapple Express,"Concentrate, Inhalable",2017-02-28,,157,,,,,,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.317,0.0,0.624,1.371,,0.185,1.656,0.0,0.0,,,,,,,,,,,,,,
,Brass Knuckles Blue Dream,"Concentrate, Inhalable",2017-03-07,,157,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486,0.0,0.0,0.154,0.615,4.265,0.0,2.059,5.25,,1.881,0.634,0.0,0.0,,,,,,,,,,,,,,
,Pure Vape Jack Herer,"Concentrate, Inhalable",2017-03-07,,157,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.0,0.0,0.277,0.531,0.258,0.0,1.424,0.11,,0.059,0.141,0.0,0.0,,,,,,,,,,,,,,
,Pure Vape Gorilla Glue,"Concentrate, Inhalable",2017-03-07,,157,,,,,,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.157,0.0,0.115,0.319,0.424,0.175,0.0,1.078,0.133,,0.059,0.151,0.0,0.0,,,,,,,,,,,,,,
,Loud Pack's Skywalker OG,"Concentrate, Inhalable",2017-04-18,,157,,,,,,0.0,0.097,0.0,0.0,0.124,0.0,0.0,1.3,0.0,0.328,0.494,0.377,0.409,0.0,3.368,2.393,,0.762,3.476,0.0,0.0,,,,,,,,,,,,,,
,SKD,"Flower, Inhalable",2017-12-08,,158,,,,,,0.0,0.012,0.013,0.0,0.0,0.0,0.009,0.018,0.0,0.009,0.054,0.181,0.048,0.0,0.438,0.911,,0.071,0.493,0.0,0.0,,,,,,,,,,,,,,
