Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
43gPnjkWPhJahz7Ks,LSD - LR,Concentrate,2016-01-26,2016-01-27,,,,0.0,0.0,,0.0,0.1,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.07,0.04,0.08,0.41,0.01,0.21,0.32,0.22,0.04,1.52,0.01,0.0,,50.2,,,0.11,0.03,,0.02,,,,2.69,0.03,
44Kc2E92XTByFBQ4f,Sour Gush,Concentrate,2017-01-31,2017-02-02,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.03,0.08,0.37,0.0,0.27,1.08,0.12,0.04,0.76,0.0,0.0,,62.1,,,1.04,0.23,,0.43,,,,4.08,0.53,
45Yi4WQj4YDB39x7Q,Sample 22,Concentrate,,,19,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.01,0.05,0.34,0.07,0.0,0.67,0.07,0.0,0.03,0.32,0.0,0.0,,,,,,,,,,,,,,
45feZQxCjr9N2gEcQ,Pugs Breath #1 -LRB,Concentrate,2017-07-14,2017-07-14,,0.0,0.0,,,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.02,0.04,0.15,0.32,0.0,0.35,0.22,0.31,0.02,1.18,0.0,0.0,,1.49,0.01,90.5,0.01,0.01,0.95,0.01,,,4.43,0.37,0.01,
46KXfYJzwYQ8fZELG,Papa Smurf,Concentrate,,,20,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.11,0.06,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
46yqiJLHM8B9Lejj8,Strawberrry Banana,Concentrate,2017-03-28,2017-03-30,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.88,0.05,0.18,0.04,0.0,0.43,0.44,0.16,0.0,0.31,0.0,0.0,,56.3,,,0.35,0.18,,0.4,,,,2.95,0.5,
49cC5YqAatkRPrJsE,Durban Poison,Concentrate,2017-02-03,2017-02-06,21,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.06,0.0,1.73,0.04,0.12,0.32,0.14,0.37,0.35,0.32,0.25,0.41,0.11,0.0,,60.86,,,2.69,0.54,,0.69,,,,3.37,0.88,
4AAuWhRfKeEdasS3q,Garlic Cherry HFE 5/13,Concentrate,2017-05-15,2017-05-17,,,,0.0,0.0,,0.0,0.05,0.0,0.0,0.0,0.22,0.0,0.52,0.0,0.01,0.14,0.69,0.42,0.0,1.54,1.87,0.05,0.2,1.65,0.0,0.0,39.1,19.3,,,0.0,0.0,0.51,0.0,,,2.87,0.71,0.09,
4GNeXuJbrEWBQsNph,Lemon Punch- LR,Concentrate,2017-08-31,2017-08-31,,0.0,0.0,,,,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.56,0.04,0.0,0.2,0.05,0.29,0.51,0.0,0.05,1.2,0.03,0.0,,1.47,0.01,82.84,0.01,0.01,0.96,0.01,,,6.27,0.4,0.01,
4LZd2DG2688iBAybe,Hustler #3,Concentrate,2017-06-02,2017-06-02,10,0.0,0.0,,,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.05,0.18,0.12,0.0,0.43,0.2,0.0,0.02,0.73,0.0,0.0,,2.92,0.01,73.82,0.01,0.01,0.53,0.01,,,0.76,0.01,3.19,
